file,line,pattern,classification,context
data/collected/hardware_session_20260902_171313_labelled.md,15,0\.0000,HISTORICAL,"| at_rest | 59 | 1.0409 - 1.0603 | 0.0113 - 0.0349 | 0.0107 - 0.0335 | -1.2782 - 1.3059 | 15.6250 - 250.0000 | 0.909 | 0.789314 | ALERT=5, ALLOW=54 |"
data/collected/hardware_session_20260902_171313_labelled.md,16,0\.0000,HISTORICAL,| gentle_tap | 28 | 0.7960 - 2.3391 | 0.0447 - 2.5420 | 0.0428 - 1.6694 | -1.5207 - 2.3844 | 15.6250 - 46.8750 | 0.909 | 0.000003 | ALERT=28 |
data/collected/hardware_session_20260902_171313_labelled.md,17,0\.0000,HISTORICAL,| moderate_shake | 33 | 0.6247 - 3.1850 | 0.1018 - 2.3731 | 0.0747 - 1.1248 | -1.6411 - 6.5729 | 15.6250 - 46.8750 | 0.909 | 0.000003 | ALERT=33 |
data/collected/hardware_session_20260902_171313_labelled.md,18,0\.0000,HISTORICAL,| tilt_rotate | 32 | 0.5455 - 2.9939 | 0.1402 - 2.1675 | 0.0684 - 1.4494 | -1.5947 - 6.0319 | 15.6250 - 78.1250 | 0.908 | 0.000003 | ALERT=32 |
data/collected/hardware_session_20260902_171313_labelled.md,37,0\.0000,HISTORICAL,- `dominant_freq`: 15.6250 to 250.0000
data/collected/hardware_session_20260902_173108_labelled.md,15,0\.0000,HISTORICAL,| at_rest | 18 | 1.0424 - 1.0519 | 0.0111 - 0.0341 | 0.0106 - 0.0324 | -0.9085 - 1.2296 | 15.6250 - 250.0000 | n/a (no gateway match) | n/a (no gateway match) | n/a (no gateway match) |
data/collected/hardware_session_20260902_173108_labelled.md,31,0\.0000,HISTORICAL,- `dominant_freq`: 15.6250 to 250.0000
data/collected/hardware_session_20260902_221217_labelled.md,16,0\.0000,HISTORICAL,"| at_rest | 55 | 1.0172 - 1.0619 | 0.0115 - 0.0768 | 0.0110 - 0.0746 | -1.2862 - 1.2622 | 15.6250 - 250.0000 | 0.909 | 0.589334 | ALERT=13, ALLOW=42 |"
data/collected/hardware_session_20260902_221217_labelled.md,17,0\.0000,HISTORICAL,| fault_strong | 23 | 0.7827 - 3.0773 | 0.2963 - 2.1814 | 0.1053 - 1.6799 | -1.5097 - 5.1663 | 15.6250 - 31.2500 | 0.904 | 0.000033 | ALERT=23 |
data/collected/hardware_session_20260902_221217_labelled.md,36,0\.0000,HISTORICAL,- `dominant_freq`: 15.6250 to 250.0000
design/READINESS.md,14,20 physical,HISTORICAL,| SW-420 physical demo | NOT VERIFIED | DEMO_CHECKLIST.md | One physical identity; VALIDATION/TEST pending |
design/READINESS.md,68,20 physical,HISTORICAL,"Research constraints, reconciled 2026-09-07: Task-2 SUPPORTED BUT WEAKER; B0 network-level count; configured M6 serving with unresolved comparative/training/policy lineage; physical M6 validation pending; one MPU6050 and one SW-420 physical identity; SW held-out sessions pending; 20-node constructed benchmark; Security and Process Trust separate until policy."
docs/06_module5_access_control.md,6,full RL,HISTORICAL,"> **2026-09-05 audit update:** The live default is a contextual bandit (USE_RL_POLICY), not full RL. P6 is only the best constrained static grid point; P5 also meets the saved test bounds and scores higher macro-F1. Quarantine remains off."
docs/10_testing_and_attack_simulation.md,21,reinforcement learning,HISTORICAL,"> not reinforcement learning** — scores macro-F1 **0.5271**, beating the"
docs/12_model_validation_and_justification.md,481,reinforcement learning,HISTORICAL,> **not reinforcement learning and not Q-learning**: the update is
docs/CLAIM_EVIDENCE_MATRIX.md,44,0\.3958,HISTORICAL,"| **Metric** | TEST accuracy: B0 global count **0.3958**, B1 concat logistic **0.5433** (+0.1475), B2 concat MLP **0.5267** (+0.1309), GNN output-vector head **0.5375** (+0.1417). B1 is the strongest observed TEST comparison; GNN has the highest VALIDATION accuracy (0.5475). |"
docs/CLAIM_EVIDENCE_MATRIX.md,46,0\.3958,HISTORICAL,"| **Allowed** | ""In the current constructed 20-node benchmark, concat logistic regression achieved Task-2 accuracy 0.5433 versus 0.3958 for a global anomalous-node-count baseline."" |"
docs/CLAIM_EVIDENCE_MATRIX.md,51,GNN superiority,HISTORICAL,## C3 — GNN superiority is not established
docs/CLAIM_EVIDENCE_MATRIX.md,58,0\.3958,HISTORICAL,"| **Task 2** | TEST accuracy: B1 **0.5433** > GNN **0.5375** > B2 **0.5267** > B0 **0.3958**. There is no separate B3 Task-2 classifier. ""GNN loses to every simple baseline on both tasks"" is withdrawn. |"
docs/CLAIM_EVIDENCE_MATRIX.md,102,0\.0000,HISTORICAL,"| Result | Macro-F1 P3 0.6453, P2 0.5614, P5 0.5271, P4 0.4410, P6 0.2777, P1 0.2744. P3 false-block 0.1510; P2 ALERT recall 0.5850. P5 ALERT recall 0.9600 / false-block 0.0000; P6 0.9900 / 0.0000. |"
docs/CLAIM_EVIDENCE_MATRIX.md,104,reinforcement learning,HISTORICAL,| Disallowed | “P6 is the best constrained policy overall”; “full reinforcement learning”; silently replacing the configured bandit with a benchmark candidate. |
docs/CLAIM_EVIDENCE_MATRIX.md,151,PENDING_REAL_HARDWARE_DATA,HISTORICAL,| **Limitation** | `esp32-vib-002` contributes real TRAIN rows only; its VALIDATION/TEST network records are still `PENDING_REAL_HARDWARE_DATA` and excluded from every metric. So the network as *evaluated* on VALIDATION/TEST is 1 fully-real + 18 simulated + 1 TRAIN-only-real/pending-elsewhere. RESULTS.md §0.13.18.2/§0.13.19 measured a concrete cost of this gap and corrected an earlier misdiagnosis of it. |
docs/CLAIM_EVIDENCE_MATRIX.md,165,two MPU6050,HISTORICAL,"| **Disallowed** | ""Validated across two MPU6050 sensors."" |"
