file,line,pattern,classification,reason,context
src/datasets.py,20,PENDING_REAL_HARDWARE_DATA,CURRENT,Current pending-data contract or explicitly qualified terminology,PENDING_REAL_HARDWARE_DATA rows carry no features and are dropped before any
src/datasets.py,49,PENDING_REAL_HARDWARE_DATA,CURRENT,Current pending-data contract or explicitly qualified terminology,continue          # PENDING_REAL_HARDWARE_DATA -- no features to fit
scripts/benchmark_crossdevice_models.py,18,PENDING_REAL_HARDWARE_DATA,CURRENT,Current pending-data contract or explicitly qualified terminology,PENDING_REAL_HARDWARE_DATA currently marks missing SW-420 held-out captures;
scripts/benchmark_crossdevice_models.py,94,PENDING_REAL_HARDWARE_DATA,CURRENT,Current pending-data contract or explicitly qualified terminology,"# channel (1.0 = real observation this snapshot, 0.0 = PENDING_REAL_HARDWARE_DATA"
scripts/build_paper_results.py,329,0\.3958,CURRENT,Explicit current/historical numerical reconciliation,"out.append('B0 Task 2 counts network anomalies, B1 is indexed concatenated logistic regression, B2 is indexed concatenated MLP; `GNN_node_embeddings` actually concatenates final scalar GCN scores before a logistic head. Corrected B0→B2 is 0.3958→0.5267 (delta +0.1309); pre-fix B2 0.5283 (delta +0.1325). B1 0.5433 exceeds GCN-score 0.5375 numerically. Verdict: SUPPORTED BUT WEAKER for indexed representation versus count; no graph-superiority claim.\n')"
scripts/build_paper_results.py,329,0\.5283,CURRENT,Explicit current/historical numerical reconciliation,"out.append('B0 Task 2 counts network anomalies, B1 is indexed concatenated logistic regression, B2 is indexed concatenated MLP; `GNN_node_embeddings` actually concatenates final scalar GCN scores before a logistic head. Corrected B0→B2 is 0.3958→0.5267 (delta +0.1309); pre-fix B2 0.5283 (delta +0.1325). B1 0.5433 exceeds GCN-score 0.5375 numerically. Verdict: SUPPORTED BUT WEAKER for indexed representation versus count; no graph-superiority claim.\n')"
scripts/evaluate_gnn_baselines.py,30,PENDING_REAL_HARDWARE_DATA,CURRENT,Current pending-data contract or explicitly qualified terminology,Rows whose source_type is PENDING_REAL_HARDWARE_DATA carry no features. They
scripts/evaluate_gnn_baselines.py,93,PENDING_REAL_HARDWARE_DATA,CURRENT,Current pending-data contract or explicitly qualified terminology,"`valid`, if given, is a (batch, n_nodes) bool array: a PENDING_REAL_HARDWARE_DATA"
scripts/evaluate_gnn_baselines.py,152,PENDING_REAL_HARDWARE_DATA,CURRENT,Current pending-data contract or explicitly qualified terminology,"if r.get(""reading"") is None:          # PENDING_REAL_HARDWARE_DATA"
scripts/evaluate_policy_comparison.py,14,reinforcement learning,CURRENT,Current pending-data contract or explicitly qualified terminology,"TERMINOLOGY. P5 is NOT reinforcement learning, despite the RL_* config names."
scripts/evaluate_policy_comparison.py,327,reinforcement learning,CURRENT,Current pending-data contract or explicitly qualified terminology,"""action-value estimation, not reinforcement learning""},"
scripts/generate_network_data.py,11,PENDING_REAL_HARDWARE_DATA,CURRENT,Current pending-data contract or explicitly qualified terminology,split pool produces PENDING_REAL_HARDWARE_DATA rows without readings. Pending
