COMPONENT,PURPOSE,IMPLEMENTATION FILE,CLASS / FUNCTION,INPUT,OUTPUT,MODEL / ALGORITHM,TRAINING STATUS,INFERENCE STATUS,TEST COVERAGE,RESULT ARTIFACT,DEPLOYMENT STATUS,RESEARCH STATUS,KNOWN LIMITATIONS,PAPER-SAFE DESCRIPTION
Firmware,Firmware / acquire and sign,firmware/main.py; firmware/main_sw420.py,"`firmware/main.py`, `main_sw420.py`: feature and telemetry functions",Sensor windows,signed feature envelope,DSP; no training,NO LEARNED FITTING in runtime; preprocessing/generation as documented,MicroPython code; captures support physical use,"`test_invariants.py`, raw captures",firmware/HARDWARE_DATA_LOG.md; data/collected/,IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,Exact flashed revision/build unknown,Firmware maps Sensor windows to signed feature envelope using DSP; no training. Scope: Exact flashed revision/build unknown.
Gateway ingestion,Gateway ingestion,src/gateway.py,"`gateway.process_telemetry`, `on_message`",JSON envelope,decision/audit,Locked staged validation,NO LEARNED FITTING in runtime; preprocessing/generation as documented,Runtime,`test_gateway_input_validation.py`,results/final_verification/pytest_final.log (contract tests; no separate deployment measurement),IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,MQTT wire operation not remeasured here,Gateway ingestion maps JSON envelope to decision/audit using Locked staged validation. Scope: MQTT wire operation not remeasured here.
Identity,Identity,src/gateway.py; src/config.py,Registry lookup in `_process_telemetry`,Claimed ID,known/unknown,Static registry,NO LEARNED FITTING in runtime; preprocessing/generation as documented,Pre-HMAC gate,`test_invariants.py`,results/final_verification/pytest_final.log (contract tests; no separate deployment measurement),IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,Claimed ID is not proof of sender,Identity maps Claimed ID to known/unknown using Static registry. Scope: Claimed ID is not proof of sender.
Authentication,Authentication,src/gateway.py,`gateway.verify_signature`,"Payload, signature, key",boolean,HMAC-SHA256,NO LEARNED FITTING in runtime; preprocessing/generation as documented,Runtime gate,canonicalization and rejection tests,results/final_verification/pytest_final.log (contract tests; no separate deployment measurement),IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,No hardware root of trust,"Authentication maps Payload, signature, key to boolean using HMAC-SHA256. Scope: No hardware root of trust."
Revocation,Revocation,src/trust_engine.py,"`trust_engine.is_revoked`, `revoke_device`",ID,rejection override,In-memory registry status,NO LEARNED FITTING in runtime; preprocessing/generation as documented,Before HMAC,invariant tests,results/final_verification/pytest_final.log (contract tests; no separate deployment measurement),IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,Durable lifecycle management limited,Revocation maps ID to rejection override using In-memory registry status. Scope: Durable lifecycle management limited.
HMAC,HMAC / rotation,src/trust_engine.py; src/gateway.py,`verify_signature_with_rotation`,Current/previous key,verification,Grace-window key rotation,NO LEARNED FITTING in runtime; preprocessing/generation as documented,Runtime,invariant tests,results/final_verification/pytest_final.log (contract tests; no separate deployment measurement),IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,Secret provisioning outside tracked source,HMAC maps Current/previous key to verification using Grace-window key rotation. Scope: Secret provisioning outside tracked source.
Replay,Replay,src/trust_engine.py,"`check_boot_replay`, `commit_boot_seq`",Boot/sequence,accept; committed baseline,Strict monotonic counters,NO LEARNED FITTING in runtime; preprocessing/generation as documented,Commit after all gates,boot-state isolation tests,results/final_verification/pytest_final.log (contract tests; no separate deployment measurement),IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,Gateway replay baseline not durable across restart,Replay maps Boot/sequence to accept; committed baseline using Strict monotonic counters. Scope: Gateway replay baseline not durable across restart.
Freshness,Freshness,src/trust_engine.py,`check_timestamp_freshness`,Signed timestamp,boolean,Absolute 600-second window,NO LEARNED FITTING in runtime; preprocessing/generation as documented,Runtime gate,freshness/malformed tests,results/final_verification/pytest_final.log (contract tests; no separate deployment measurement),IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,Demo tolerance is wide,Freshness maps Signed timestamp to boolean using Absolute 600-second window. Scope: Demo tolerance is wide.
Security Trust,Security Trust,src/trust_engine.py,`score_security_trust`,Authenticated rate/step-up,trust,"Decay + EWMA, no learning",NO LEARNED FITTING in runtime; preprocessing/generation as documented,Runtime,separation/state tests,results/final_verification/pytest_final.log (contract tests; no separate deployment measurement),IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,Does not identify every compromised-key attack,"Security Trust maps Authenticated rate/step-up to trust using Decay + EWMA, no learning. Scope: Does not identify every compromised-key attack."
Physical telemetry,Physical telemetry,src/gateway.py; src/feature_engineering.py,"`_extract_reading`, `feature_names_for`",Registry modality + payload,typed reading,Exact field selection,NO LEARNED FITTING in runtime; preprocessing/generation as documented,After authentication,hardware schema tests,results/final_verification/pytest_final.log (contract tests; no separate deployment measurement),IMPLEMENTED; physical serving deployment not reobserved in this audit,IMPLEMENTED RUNTIME / deployment not reobserved,Semantically false but finite values can authenticate,Physical telemetry maps Registry modality + payload to typed reading using Exact field selection. Scope: Semantically false but finite values can authenticate.
