file,classification,producer,seeds,split_and_protocol,metric_definitions,checkpoint,document_references
results/astra_masking_review/adversarial_probes.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/astra_masking_review/environment_and_inputs.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/astra_masking_review/finite_parity.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/astra_masking_review/full_suite.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/astra_masking_review/gnn_network.pt,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/astra_masking_review/historical_metrics.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/astra_masking_review/integration_tests.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/astra_masking_review/masking_green.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/astra_masking_review/metrics.json,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
results/astra_masking_review/nonfinite_red.log,PRIVATE AUDIT / KEEP_REPRODUCIBILITY,preserved audit execution,Per execution log/JSON; not an independent headline benchmark,Audit tests/replays/metadata; failed red logs explicitly preserved,"Contract outcomes, replay metrics or inventory; filename and log define scope",Original artifacts unchanged; any audit GCN copy remains separate,docs/paper/12_EXPERIMENTAL_PROTOCOL.md; docs/paper/13_RESULTS_MASTER_TABLES.md; docs/paper/24_REPRODUCIBILITY_GUIDE.md
